Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
2020-01-05,18:00:00,No data,,3.8,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),4.4,V ugm-3 (TEOM FDMS),,,5.5,V ugm-3 (TEOM FDMS),3.643,V ugm-3 (FIDAS),2.353,V ugm-3 (Ref.eq),,,6.05,V ugm-3 (FIDAS),4.127,V ugm-3 (Ref.eq),0.463449,V mgm-3,13.1,V ugm-3 (TEOM FDMS),8.7,V ugm-3 (TEOM FDMS),0.11361,V mgm-3,5.375,V ugm-3 (FIDAS),3.349,V ugm-3 (Ref.eq),5.35,V ugm-3 (FIDAS),3.679,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-01-05,19:00:00,No data,,4.4,V ugm-3 (TEOM FDMS),10.1,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),,,4.3,V ugm-3 (TEOM FDMS),5.315,V ugm-3 (FIDAS),3.508,V ugm-3 (Ref.eq),,,6.45,V ugm-3 (FIDAS),4.292,V ugm-3 (Ref.eq),0.379186,V mgm-3,12.7,V ugm-3 (TEOM FDMS),5.4,V ugm-3 (TEOM FDMS),0.136915,V mgm-3,7.125,V ugm-3 (FIDAS),4.788,V ugm-3 (Ref.eq),7.325,V ugm-3 (FIDAS),5.377,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-05,20:00:00,No data,,6.2,V ugm-3 (TEOM FDMS),9.4,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),,,5.4,V ugm-3 (TEOM FDMS),6.555,V ugm-3 (FIDAS),4.21,V ugm-3 (Ref.eq),,,9.1,V ugm-3 (FIDAS),7.076,V ugm-3 (Ref.eq),0.373568,V mgm-3,12.3,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),0.15148,V mgm-3,8.7,V ugm-3 (FIDAS),6.486,V ugm-3 (Ref.eq),8.875,V ugm-3 (FIDAS),6.226,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-05,21:00:00,No data,,6.8,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),,,5.7,V ugm-3 (TEOM FDMS),5.61,V ugm-3 (FIDAS),3.855,V ugm-3 (Ref.eq),,,9.05,V ugm-3 (FIDAS),6.84,V ugm-3 (Ref.eq),0.342672,V mgm-3,11.5,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),0.168958,V mgm-3,9.95,V ugm-3 (FIDAS),6.934,V ugm-3 (Ref.eq),8.875,V ugm-3 (FIDAS),6.321,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-01-05,22:00:00,No data,,4.6,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),,,5.2,V ugm-3 (TEOM FDMS),7.05,V ugm-3 (FIDAS),5.231,V ugm-3 (Ref.eq),,,7.975,V ugm-3 (FIDAS),6.109,V ugm-3 (Ref.eq),0.390421,V mgm-3,13.3,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),0.16022,V mgm-3,9.2,V ugm-3 (FIDAS),6.604,V ugm-3 (Ref.eq),7.45,V ugm-3 (FIDAS),5.802,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-05,23:00:00,No data,,5.3,V ugm-3 (TEOM FDMS),9.4,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),,,5.2,V ugm-3 (TEOM FDMS),7.264,V ugm-3 (FIDAS),5.366,V ugm-3 (Ref.eq),,,8.45,V ugm-3 (FIDAS),5.542,V ugm-3 (Ref.eq),0.356716,V mgm-3,13.1,V ugm-3 (TEOM FDMS),10.4,V ugm-3 (TEOM FDMS),0.148567,V mgm-3,7.925,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),6.975,V ugm-3 (FIDAS),4.67,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-05,24:00:00,No data,,8.3,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),,,5.3,V ugm-3 (TEOM FDMS),8.77,V ugm-3 (FIDAS),6.09,V ugm-3 (Ref.eq),,,10.325,V ugm-3 (FIDAS),7.429,V ugm-3 (Ref.eq),0.238747,V mgm-3,13,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),0.134002,V mgm-3,8.225,V ugm-3 (FIDAS),5.849,V ugm-3 (Ref.eq),8.7,V ugm-3 (FIDAS),5.59,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-06,01:00:00,No data,,8.4,V ugm-3 (TEOM FDMS),11.1,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),,,4.4,V ugm-3 (TEOM FDMS),8.376,V ugm-3 (FIDAS),5.893,V ugm-3 (Ref.eq),,,10.675,V ugm-3 (FIDAS),6.863,V ugm-3 (Ref.eq),No data,V mgm-3,13.9,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),0.139869,V mgm-3,9.55,V ugm-3 (FIDAS),6.061,V ugm-3 (Ref.eq),8.425,V ugm-3 (FIDAS),5.212,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-06,02:00:00,No data,,6.1,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),,,4.4,V ugm-3 (TEOM FDMS),5.934,V ugm-3 (FIDAS),4.137,V ugm-3 (Ref.eq),,,7.45,V ugm-3 (FIDAS),4.552,V ugm-3 (Ref.eq),0.0859,V mgm-3,9.8,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),0.097132,V mgm-3,6.725,V ugm-3 (FIDAS),4.033,V ugm-3 (Ref.eq),7.275,V ugm-3 (FIDAS),4.057,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-06,03:00:00,No data,,4.6,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (TEOM FDMS),4.1,V ugm-3 (TEOM FDMS),,,2.8,V ugm-3 (TEOM FDMS),4.941,V ugm-3 (FIDAS),3.196,V ugm-3 (Ref.eq),,,5.9,V ugm-3 (FIDAS),3.703,V ugm-3 (Ref.eq),0.081232,V mgm-3,8.6,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),0.090333,V mgm-3,6,V ugm-3 (FIDAS),3.656,V ugm-3 (Ref.eq),5.675,V ugm-3 (FIDAS),3.561,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-06,04:00:00,No data,,5.9,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),,,4.6,V ugm-3 (TEOM FDMS),5.524,V ugm-3 (FIDAS),3.378,V ugm-3 (Ref.eq),,,6.15,V ugm-3 (FIDAS),3.915,V ugm-3 (Ref.eq),0.109244,V mgm-3,5.9,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),0.081591,V mgm-3,6.125,V ugm-3 (FIDAS),3.632,V ugm-3 (Ref.eq),6.225,V ugm-3 (FIDAS),3.679,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-06,05:00:00,No data,,6.1,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),,,3.2,V ugm-3 (TEOM FDMS),6.321,V ugm-3 (FIDAS),4.259,V ugm-3 (Ref.eq),,,7.675,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),0.128851,V mgm-3,9.9,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),0.075763,V mgm-3,6.8,V ugm-3 (FIDAS),4.41,V ugm-3 (Ref.eq),7.75,V ugm-3 (FIDAS),4.788,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-01-06,06:00:00,No data,,7.5,V ugm-3 (TEOM FDMS),10.5,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),,,6.4,V ugm-3 (TEOM FDMS),8.344,V ugm-3 (FIDAS),5.741,V ugm-3 (Ref.eq),,,10.1,V ugm-3 (FIDAS),6.981,V ugm-3 (Ref.eq),0.165265,V mgm-3,9.9,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),0.081591,V mgm-3,9.25,V ugm-3 (FIDAS),6.344,V ugm-3 (Ref.eq),9.075,V ugm-3 (FIDAS),6.321,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-06,07:00:00,No data,,9.3,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),,,5.2,V ugm-3 (TEOM FDMS),9.104,V ugm-3 (FIDAS),6.272,V ugm-3 (Ref.eq),,,11.25,V ugm-3 (FIDAS),8.396,V ugm-3 (Ref.eq),0.268907,V mgm-3,12.1,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),0.093247,V mgm-3,10.025,V ugm-3 (FIDAS),7.241,V ugm-3 (Ref.eq),9.925,V ugm-3 (FIDAS),6.769,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-06,08:00:00,No data,,6.8,V ugm-3 (TEOM FDMS),12.6,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),,,5.9,V ugm-3 (TEOM FDMS),9.119,V ugm-3 (FIDAS),6.493,V ugm-3 (Ref.eq),,,9.175,V ugm-3 (FIDAS),6.675,V ugm-3 (Ref.eq),0.383753,V mgm-3,14.2,V ugm-3 (TEOM FDMS),9.4,V ugm-3 (TEOM FDMS),0.104901,V mgm-3,10.25,V ugm-3 (FIDAS),7.429,V ugm-3 (Ref.eq),10.075,V ugm-3 (FIDAS),6.863,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-06,09:00:00,No data,,5.9,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),,,5.3,V ugm-3 (TEOM FDMS),7.99,V ugm-3 (FIDAS),5.638,V ugm-3 (Ref.eq),,,8.4,V ugm-3 (FIDAS),6.014,V ugm-3 (Ref.eq),0.448179,V mgm-3,12.7,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (TEOM FDMS),0.128213,V mgm-3,8.975,V ugm-3 (FIDAS),6.061,V ugm-3 (Ref.eq),7.6,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-06,10:00:00,No data,,5.2,V ugm-3 (TEOM FDMS),10.8,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),,,8.1,V ugm-3 (TEOM FDMS),7.39,V ugm-3 (FIDAS),4.912,V ugm-3 (Ref.eq),,,7.825,V ugm-3 (FIDAS),5.259,V ugm-3 (Ref.eq),0.380952,V mgm-3,13.5,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),0.107815,V mgm-3,8,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),6.95,V ugm-3 (FIDAS),4.41,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-06,11:00:00,No data,,7.1,V ugm-3 (TEOM FDMS),12.2,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),,,6.4,V ugm-3 (TEOM FDMS),7.352,V ugm-3 (FIDAS),5.084,V ugm-3 (Ref.eq),,,7.775,V ugm-3 (FIDAS),4.717,V ugm-3 (Ref.eq),0.372547,V mgm-3,15.6,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),0.110729,V mgm-3,7.525,V ugm-3 (FIDAS),4.835,V ugm-3 (Ref.eq),7.35,V ugm-3 (FIDAS),4.316,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-06,12:00:00,No data,,6.2,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),,,4.2,V ugm-3 (TEOM FDMS),8.717,V ugm-3 (FIDAS),6.168,V ugm-3 (Ref.eq),,,9.725,V ugm-3 (FIDAS),5.448,V ugm-3 (Ref.eq),0.37535,V mgm-3,13.3,V ugm-3 (TEOM FDMS),7.3,V ugm-3 (TEOM FDMS),0.119471,V mgm-3,8.25,V ugm-3 (FIDAS),5.165,V ugm-3 (Ref.eq),8.175,V ugm-3 (FIDAS),4.859,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-01-06,13:00:00,No data,,6.3,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),,,4.7,V ugm-3 (TEOM FDMS),8.892,V ugm-3 (FIDAS),6.708,V ugm-3 (Ref.eq),,,9.575,V ugm-3 (FIDAS),5.66,V ugm-3 (Ref.eq),0.330532,V mgm-3,10.7,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),0.107815,V mgm-3,10.75,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq),9.325,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-01-06,14:00:00,No data,,5.2,V ugm-3 (TEOM FDMS),13.5,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),,,6.7,V ugm-3 (TEOM FDMS),10.063,V ugm-3 (FIDAS),6.838,V ugm-3 (Ref.eq),,,11.575,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),0.333333,V mgm-3,15.2,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),0.116557,V mgm-3,10.2,V ugm-3 (FIDAS),6.439,V ugm-3 (Ref.eq),10.7,V ugm-3 (FIDAS),6.297,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-06,15:00:00,No data,,12.8,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),,,3.9,V ugm-3 (TEOM FDMS),11.128,V ugm-3 (FIDAS),7.546,V ugm-3 (Ref.eq),,,11.45,V ugm-3 (FIDAS),7.217,V ugm-3 (Ref.eq),0.392156,V mgm-3,17.7,V ugm-3 (TEOM FDMS),9.1,V ugm-3 (TEOM FDMS),0.131127,V mgm-3,11.95,V ugm-3 (FIDAS),6.934,V ugm-3 (Ref.eq),12.175,V ugm-3 (FIDAS),7.571,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-06,16:00:00,No data,,8.7,V ugm-3 (TEOM FDMS),14.2,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),,,5,V ugm-3 (TEOM FDMS),11.082,V ugm-3 (FIDAS),7.601,V ugm-3 (Ref.eq),,,13.625,V ugm-3 (FIDAS),7.901,V ugm-3 (Ref.eq),0.442576,V mgm-3,14.8,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),0.154438,V mgm-3,11.875,V ugm-3 (FIDAS),7.028,V ugm-3 (Ref.eq),12.225,V ugm-3 (FIDAS),7.099,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-06,17:00:00,No data,,5.7,V ugm-3 (TEOM FDMS),14.8,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),,,9.3,V ugm-3 (TEOM FDMS),10.46,V ugm-3 (FIDAS),7.441,V ugm-3 (Ref.eq),,,11.425,V ugm-3 (FIDAS),7.241,V ugm-3 (Ref.eq),0.400559,V mgm-3,17.3,V ugm-3 (TEOM FDMS),9.1,V ugm-3 (TEOM FDMS),0.174836,V mgm-3,11.075,V ugm-3 (FIDAS),6.627,V ugm-3 (Ref.eq),11.375,V ugm-3 (FIDAS),8.137,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-06,18:00:00,No data,,7,V ugm-3 (TEOM FDMS),12.3,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),,,7.4,V ugm-3 (TEOM FDMS),7.317,V ugm-3 (FIDAS),5.973,V ugm-3 (Ref.eq),,,8.725,V ugm-3 (FIDAS),6.392,V ugm-3 (Ref.eq),0.347338,V mgm-3,16.3,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),0.195234,V mgm-3,8.125,V ugm-3 (FIDAS),6.297,V ugm-3 (Ref.eq),7.075,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-06,19:00:00,No data,,10.1,V ugm-3 (TEOM FDMS),13.5,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),,,4.6,V ugm-3 (TEOM FDMS),6.671,V ugm-3 (FIDAS),5.2,V ugm-3 (Ref.eq),,,7.325,V ugm-3 (FIDAS),5.967,V ugm-3 (Ref.eq),0.383753,V mgm-3,12.7,V ugm-3 (TEOM FDMS),10.6,V ugm-3 (TEOM FDMS),0.195234,V mgm-3,7.575,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq),5.975,V ugm-3 (FIDAS),4.67,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-06,20:00:00,No data,,3.8,V ugm-3 (TEOM FDMS),12.6,V ugm-3 (TEOM FDMS),8.1,V ugm-3 (TEOM FDMS),,,3.7,V ugm-3 (TEOM FDMS),7.345,V ugm-3 (FIDAS),4.8,V ugm-3 (Ref.eq),,,6.6,V ugm-3 (FIDAS),4.929,V ugm-3 (Ref.eq),0.372547,V mgm-3,20.6,V ugm-3 (TEOM FDMS),12.1,V ugm-3 (TEOM FDMS),0.218545,V mgm-3,8.65,V ugm-3 (FIDAS),6.533,V ugm-3 (Ref.eq),5.925,V ugm-3 (FIDAS),4.741,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-06,21:00:00,No data,,4.6,V ugm-3 (TEOM FDMS),15.6,V ugm-3 (TEOM FDMS),11.5,V ugm-3 (TEOM FDMS),,,4.2,V ugm-3 (TEOM FDMS),13.325,V ugm-3 (FIDAS),7.939,V ugm-3 (Ref.eq),,,8.8,V ugm-3 (FIDAS),6.085,V ugm-3 (Ref.eq),0.492996,V mgm-3,19.8,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),0.268083,V mgm-3,13.25,V ugm-3 (FIDAS),8.019,V ugm-3 (Ref.eq),10.6,V ugm-3 (FIDAS),6.84,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2020-01-06,22:00:00,No data,,7.7,V ugm-3 (TEOM FDMS),20.6,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),,,7.9,V ugm-3 (TEOM FDMS),20.31,V ugm-3 (FIDAS),11.903,V ugm-3 (Ref.eq),,,16.2,V ugm-3 (FIDAS),9.693,V ugm-3 (Ref.eq),0.394957,V mgm-3,25.4,V ugm-3 (TEOM FDMS),13.5,V ugm-3 (TEOM FDMS),0.209804,V mgm-3,21.625,V ugm-3 (FIDAS),11.675,V ugm-3 (Ref.eq),17.425,V ugm-3 (FIDAS),10.212,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-06,23:00:00,No data,,7.6,V ugm-3 (TEOM FDMS),28.3,V ugm-3 (TEOM FDMS),12.9,V ugm-3 (TEOM FDMS),,,3.9,V ugm-3 (TEOM FDMS),25.853,V ugm-3 (FIDAS),13.078,V ugm-3 (Ref.eq),,,20.85,V ugm-3 (FIDAS),12.005,V ugm-3 (Ref.eq),0.322128,V mgm-3,30,V ugm-3 (TEOM FDMS),10.1,V ugm-3 (TEOM FDMS),0.203976,V mgm-3,28.5,V ugm-3 (FIDAS),14.788,V ugm-3 (Ref.eq),13.275,V ugm-3 (FIDAS),8.302,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-06,24:00:00,No data,,8.8,V ugm-3 (TEOM FDMS),27.1,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),,,3.9,V ugm-3 (TEOM FDMS),24.308,V ugm-3 (FIDAS),12.873,V ugm-3 (Ref.eq),,,23.925,V ugm-3 (FIDAS),12.995,V ugm-3 (Ref.eq),0.288514,V mgm-3,28.7,V ugm-3 (TEOM FDMS),9.8,V ugm-3 (TEOM FDMS),0.19232,V mgm-3,28,V ugm-3 (FIDAS),14.859,V ugm-3 (Ref.eq),11.975,V ugm-3 (FIDAS),7.382,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-07,01:00:00,No data,,8.9,V ugm-3 (TEOM FDMS),24.4,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),,,3.6,V ugm-3 (TEOM FDMS),20.973,V ugm-3 (FIDAS),11.92,V ugm-3 (Ref.eq),,,23.325,V ugm-3 (FIDAS),12.736,V ugm-3 (Ref.eq),No data,V mgm-3,23.8,V ugm-3 (TEOM FDMS),9.5,V ugm-3 (TEOM FDMS),0.143796,V mgm-3,24.475,V ugm-3 (FIDAS),14.009,V ugm-3 (Ref.eq),12.425,V ugm-3 (FIDAS),7.759,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-07,02:00:00,No data,,9,V ugm-3 (TEOM FDMS),20.1,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),,,4.9,V ugm-3 (TEOM FDMS),20.825,V ugm-3 (FIDAS),11.908,V ugm-3 (Ref.eq),,,23.35,V ugm-3 (FIDAS),12.877,V ugm-3 (Ref.eq),0.346387,V mgm-3,20.9,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),0.108819,V mgm-3,22.275,V ugm-3 (FIDAS),13.066,V ugm-3 (Ref.eq),10.85,V ugm-3 (FIDAS),7.146,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-07,03:00:00,No data,,6.5,V ugm-3 (TEOM FDMS),20.4,V ugm-3 (TEOM FDMS),10.6,V ugm-3 (TEOM FDMS),,,4.7,V ugm-3 (TEOM FDMS),18.693,V ugm-3 (FIDAS),11.295,V ugm-3 (Ref.eq),,,22.675,V ugm-3 (FIDAS),12.524,V ugm-3 (Ref.eq),0.301692,V mgm-3,21.2,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),0.093273,V mgm-3,22.825,V ugm-3 (FIDAS),12.972,V ugm-3 (Ref.eq),14.3,V ugm-3 (FIDAS),8.892,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-07,04:00:00,No data,,8.4,V ugm-3 (TEOM FDMS),18.3,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),,,3,V ugm-3 (TEOM FDMS),18.463,V ugm-3 (FIDAS),10.951,V ugm-3 (Ref.eq),,,21.725,V ugm-3 (FIDAS),12.076,V ugm-3 (Ref.eq),0.307278,V mgm-3,20.6,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),0.087444,V mgm-3,23.575,V ugm-3 (FIDAS),12.783,V ugm-3 (Ref.eq),17.375,V ugm-3 (FIDAS),10.283,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-07,05:00:00,No data,,5.7,V ugm-3 (TEOM FDMS),20.2,V ugm-3 (TEOM FDMS),4.4,V ugm-3 (TEOM FDMS),,,1.7,V ugm-3 (TEOM FDMS),19.52,V ugm-3 (FIDAS),10.767,V ugm-3 (Ref.eq),,,18.125,V ugm-3 (FIDAS),10.542,V ugm-3 (Ref.eq),0.382702,V mgm-3,20.8,V ugm-3 (TEOM FDMS),5.3,V ugm-3 (TEOM FDMS),0.084529,V mgm-3,21.35,V ugm-3 (FIDAS),11.934,V ugm-3 (Ref.eq),14.3,V ugm-3 (FIDAS),8.726,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-07,06:00:00,No data,,5.4,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),,,4.6,V ugm-3 (TEOM FDMS),17.05,V ugm-3 (FIDAS),10.153,V ugm-3 (Ref.eq),,,17.15,V ugm-3 (FIDAS),10.684,V ugm-3 (Ref.eq),0.338006,V mgm-3,19.3,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),0.087444,V mgm-3,21.375,V ugm-3 (FIDAS),11.58,V ugm-3 (Ref.eq),17.8,V ugm-3 (FIDAS),9.976,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-07,07:00:00,No data,,9,V ugm-3 (TEOM FDMS),19.9,V ugm-3 (TEOM FDMS),10.4,V ugm-3 (TEOM FDMS),,,2.4,V ugm-3 (TEOM FDMS),17.423,V ugm-3 (FIDAS),10.429,V ugm-3 (Ref.eq),,,17.775,V ugm-3 (FIDAS),10.613,V ugm-3 (Ref.eq),0.463711,V mgm-3,22.9,V ugm-3 (TEOM FDMS),10.7,V ugm-3 (TEOM FDMS),0.104933,V mgm-3,19.45,V ugm-3 (FIDAS),11.014,V ugm-3 (Ref.eq),18.8,V ugm-3 (FIDAS),10.613,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2020-01-07,08:00:00,No data,,9,V ugm-3 (TEOM FDMS),20.9,V ugm-3 (TEOM FDMS),7.4,V ugm-3 (TEOM FDMS),,,2,V ugm-3 (TEOM FDMS),18.545,V ugm-3 (FIDAS),11.158,V ugm-3 (Ref.eq),,,18.875,V ugm-3 (FIDAS),11.25,V ugm-3 (Ref.eq),0.581035,V mgm-3,22.1,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),0.142825,V mgm-3,21.225,V ugm-3 (FIDAS),12.052,V ugm-3 (Ref.eq),18.85,V ugm-3 (FIDAS),10.967,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-07,09:00:00,No data,,9.1,V ugm-3 (TEOM FDMS),24.6,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),,,7.3,V ugm-3 (TEOM FDMS),19.978,V ugm-3 (FIDAS),12.094,V ugm-3 (Ref.eq),,,20.225,V ugm-3 (FIDAS),11.816,V ugm-3 (Ref.eq),0.625731,V mgm-3,26,V ugm-3 (TEOM FDMS),7.4,V ugm-3 (TEOM FDMS),0.166143,V mgm-3,22.925,V ugm-3 (FIDAS),12.877,V ugm-3 (Ref.eq),20.25,V ugm-3 (FIDAS),11.439,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-07,10:00:00,No data,,10.9,V ugm-3 (TEOM FDMS),22.9,V ugm-3 (TEOM FDMS),12.2,V ugm-3 (TEOM FDMS),,,3,V ugm-3 (TEOM FDMS),19.478,V ugm-3 (FIDAS),11.738,V ugm-3 (Ref.eq),,,23.775,V ugm-3 (FIDAS),12.689,V ugm-3 (Ref.eq),0.553101,V mgm-3,28.3,V ugm-3 (TEOM FDMS),11.1,V ugm-3 (TEOM FDMS),0.136995,V mgm-3,24.375,V ugm-3 (FIDAS),12.972,V ugm-3 (Ref.eq),22.225,V ugm-3 (FIDAS),12.359,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
